"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"max"	"maxcol"
"GO:0016192"	5.1e-31	1.21e-16	1.4e-09	2.26e-23	2.16e-08	2.26e-31	5.2e-28	2.1e-19	0.999999977	"0.999999977"	"9"
"GO:0008277"	7.45e-17	2.59e-08	0.000309948	2.25e-14	0.003129812	3.37e-17	8.51e-14	5.99e-13	0.996560214	"0.996560214"	"9"
"GO:0070509"	5.62e-06	0.002094123	0.004895972	1.08e-05	0.591984063	3.67e-06	0.000104982	6.65e-05	0.400834194	"0.591984063"	"5"
"GO:0008270"	1.71e-167	2.89e-78	9.89e-48	2.21e-141	8.64e-24	2e-164	2.52e-146	1.34e-104	1	"1"	"9"
"GO:0042391"	1.07e-08	2.15e-05	0.033907072	1.31e-06	0.000335366	4.01e-09	8.46e-09	3.84e-05	0.965696333	"0.965696333"	"9"
"GO:0042393"	3.26e-14	6.44e-07	3.05e-06	2.33e-13	0.000144128	5.18e-14	1.92e-09	2.43e-10	0.999852173	"0.999852173"	"9"
"GO:2000811"	8.59e-05	0.003566823	0.061022968	0.00019232	0.341084851	3.27e-05	0.000170722	0.00062219	0.593221535	"0.593221535"	"9"
"GO:0003674"	3.43e-82	1.78e-41	3.31e-29	2.09e-63	5.08e-15	5.46e-82	1.76e-71	3.42e-49	1	"1"	"9"
"GO:0003676"	6.25e-101	2.09e-53	5.02e-29	6.76e-85	1.33e-07	8.77e-101	6.06e-89	1.59e-67	0.999999867	"0.999999867"	"9"
"GO:0003677"	2.13e-214	2.01e-109	6.41e-93	1.83e-183	4.18e-16	1.37e-212	3.45e-191	7.61e-139	1	"1"	"9"
"GO:0003678"	0.034315784	0.28362004	0.494272917	0.024615649	0.066568261	0.01647646	0.018239493	0.041487227	0.020404169	"0.494272917"	"3"
"GO:0030879"	0.000796513	0.013052691	0.109501292	0.001453736	0.665937629	0.000293952	0.000740485	0.004565952	0.203657749	"0.665937629"	"5"
"GO:0048709"	1.62e-05	0.004070971	0.984633828	9.16e-05	7.14e-05	6.63e-06	8.36e-06	0.000662834	0.010438204	"0.984633828"	"3"
"GO:0007628"	3.27e-07	0.041822341	0.002748575	2.88e-06	0.000115378	8.63e-07	8.79e-07	0.000701305	0.954607448	"0.954607448"	"9"
"GO:0000083"	0.000429408	0.003116878	0.002620491	0.000226303	0.000674	0.000667657	0.000158258	0.030028285	0.962078719	"0.962078719"	"9"
"GO:0097150"	3.74e-06	0.014189276	0.716380003	0.000828746	0.00178093	1.47e-06	8.07e-06	0.00024301	0.26656476	"0.716380003"	"3"
"GO:0007190"	0.00511715	0.0033685	0.003693113	0.001971599	0.393017967	0.001905622	0.016096702	0.117576982	0.457252365	"0.457252365"	"9"
"GO:0007193"	2.34e-08	0.001846766	0.090840713	1.93e-05	4.9e-06	9.57e-09	1.46e-08	0.00022002	0.907068258	"0.907068258"	"9"
"GO:0007194"	0.000228484	0.04402138	0.155776347	0.000943481	0.017170705	8.42e-05	9.1e-05	0.013143775	0.768540654	"0.768540654"	"9"
"GO:0010923"	9.76e-14	9.31e-07	0.027141906	4.69e-11	1.37e-05	4.21e-14	1.01e-11	6.58e-10	0.972843448	"0.972843448"	"9"
"GO:0046677"	3.44e-07	0.000320201	0.018436707	3.43e-05	0.001714429	1.28e-07	2.58e-06	1.16e-05	0.979479629	"0.979479629"	"9"
"GO:0046676"	0.000188569	0.008087326	0.030524949	0.00027673	0.027543523	0.000132678	0.000157846	0.004731179	0.9283572	"0.9283572"	"9"
"GO:0005737"	0	0	1.06e-219	0	1.19e-145	0	0	0	1	"1"	"9"
